ID,Date,Open,High,Low,Close,Vol.,Change %
987,2016-5-17,17.3,17.35,17,17.15,4510000,-0.0115
988,2016-5-18,17.05,17.3,17.05,17.15,1540000,0.0000
989,2016-5-19,17.3,17.4,17.25,17.3,6970000,0.0087
990,2016-5-20,17.3,17.4,17.15,17.35,5030000,0.0029
991,2016-5-23,17.3,17.3,17.1,17.2,2240000,-0.0086
992,2016-5-24,17.1,17.45,17.1,17.35,6280000,0.0087
993,2016-5-25,17.45,17.45,17.15,17.25,6920000,-0.0058
994,2016-5-26,17.2,17.3,17,17.25,3480000,0.0000
995,2016-5-27,17.2,17.25,17.05,17.1,3920000,-0.0087
996,2016-5-30,17.2,17.2,17.05,17.05,2570000,-0.0029
997,2016-5-31,17.1,17.1,16.9,17,5750000,-0.0029
998,2016-6-2,17,17.1,16.9,17,10130000,0.0000
999,2016-6-3,17,17,16.9,16.95,4230000,-0.0029
1000,2016-6-6,16.95,17.25,16.9,17.15,11410000,0.0118
1001,2016-6-7,17.2,17.6,17.2,17.5,9490000,0.0204
1002,2016-6-8,17.5,18.05,17.3,17.9,17670000,0.0229
1003,2016-6-9,17.9,18.4,17.9,18.25,21020000,0.0196
1004,2016-6-10,18.2,18.35,18.1,18.25,6690000,0.0000
1005,2016-6-13,18.25,18.3,18,18.15,2140000,-0.0055
1006,2016-6-14,18,18.25,18,18.1,2090000,-0.0028
1007,2016-6-15,18.1,18.35,18.05,18.3,9440000,0.0110
1008,2016-6-16,18.25,19,18.2,18.6,32590000,0.0164
1009,2016-6-17,18.75,18.8,18.1,18.7,10900000,0.0054
1010,2016-6-20,18.6,18.9,18.3,18.7,20040000,0.0000
1011,2016-6-21,18.6,18.75,18.3,18.4,8110000,-0.0160
1012,2016-6-22,18.3,18.35,17.65,18.05,9020000,-0.0190
1013,2016-6-23,18.4,18.4,17.6,17.9,22610000,-0.0083
1014,2016-6-24,17.85,17.85,17.25,17.45,2590000,-0.0251
1015,2016-6-27,17.85,17.85,17.15,17.3,4860000,-0.0086
1016,2016-6-28,17.45,17.45,17,17.15,9090000,-0.0087
